4! 24
5! 120
9! 362880
10! 3628800
14! 87178291200
15! 1307674368000
19! 121645100408832000
20! 2432902008176640000
24! 620448401733239439360000
25! 15511210043330985984000000
29! 8841761993739701954543616000000
30! 265252859812191058636308480000000
34! 295232799039604140847618609643520000000
35! 10333147966386144929666651337523200000000
39! 20397882081197443358640281739902897356800000000
40! 815915283247897734345611269596115894272000000000
44! 2658271574788448768043625811014615890319638528000000000
45! 119622220865480194561963161495657715064383733760000000000
49! 608281864034267560872252163321295376887552831379210240000000000
50! 30414093201713378043612608166064768844377641568960512000000000000
54! 230843697339241380472092742683027581083278564571807941132288000000000000
55! 12696403353658275925965100847566516959580321051449436762275840000000000000
59! 138683118545689835737939019720389406345902876772687432540821294940160000000000000
60! 8320987112741390144276341183223364380754172606361245952449277696409600000000000000
64! 126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000
65! 8247650592082470666723170306785496252186258551345437492922123134388955774976000000000000000
69! 171122452428141311372468338881272839092270544893520369393648040923257279754140647424000000000000000
70! 11978571669969891796072783721689098736458938142546425857555362864628009582789845319680000000000000000
74! 330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
75! 24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
79! 894618213078297528685144171539831652069808216779571907213868063227837990693501860533361810841010176000000000000000000
80! 71569457046263802294811533723186532165584657342365752577109445058227039255480148842668944867280814080000000000000000000
84! 3314240134565353266999387579130131288000666286242049487118846032383059131291716864129885722968716753156177920000000000000000000
85! 281710411438055027694947944226061159480056634330574206405101912752560026159795933451040286452340924018275123200000000000000000000
89! 16507955160908461081216919262453619309839666236496541854913520707833171034378509739399912570787600662729080382999756800000000000000000000
90! 1485715964481761497309522733620825737885569961284688766942216863704985393094065876545992131370884059645617234469978112000000000000000000000
94! 108736615665674308027365285256786601004186803580182872307497374434045199869417927630229109214583415458560865651202385340530688000000000000000000000
95! 10329978488239059262599702099394727095397746340117372869212250571234293987594703124871765375385424468563282236864226607350415360000000000000000000000
99! 933262154439441526816992388562667004907159682643816214685929638952175999932299156089414639761565182862536979208272237582511852109168640000000000000000000000
100! 93326215443944152681699238856266700490715968264381621468592963895217599993229915608941463976156518286253697920827223758251185210916864000000000000000000000000
