  b1/a1  -10        -9        -8        -7        -6        -5        -4        -3        -2        -1          0       1       2       3       4       5       6       7       8       9
-------  ---------  --------  --------  --------  --------  --------  --------  --------  --------  ----------  ------  ------  ------  ------  ------  ------  ------  ------  ------  -------
    -20  []         []        []        []        []        [-20]     []        []        []        []          []      []      []      []      []      []      []      []      []      []
    -19  []         []        []        []        []        [-20]     []        []        []        []          []      []      []      []      []      []      []      []      []      []
    -18  []         []        []        []        []        []        []        []        []        []          []      []      []      []      []      []      []      []      []      []
    -17  [-17]      []        []        []        []        []        []        []        []        []          []      []      []      []      []      []      []      []      []      []
    -16  [-17]      []        []        []        []        []        []        []        []        []          []      []      []      []      []      []      []      []      []      []
    -15  []         [-15]     []        []        []        []        []        []        []        []          []      []      []      []      []      []      []      []      []      []
    -14  []         [-15]     []        []        []        []        [-14]     [-31]     []        []          []      []      []      []      []      []      []      []      []      []
    -13  []         []        [-13]     []        []        []        [-14]     []        []        []          []      []      []      []      []      []      []      []      []      []
    -12  []         []        [-13]     []        []        []        []        []        []        []          []      []      []      []      []      []      []      []      []      []
    -11  []         []        []        [-11]     []        []        []        []        []        []          []      []      []      []      []      []      []      []      []      []
    -10  [-10]      []        []        [-11]     []        []        []        []        []        []          []      []      []      []      []      []      []      []      []      []
     -9  [-9, -10]  [-9]      []        []        [-9]      []        []        []        []        []          []      []      []      []      []      []      []      []      []      []
     -8  [-9]       [-8, -9]  [-8]      []        [-9]      []        []        [-8]      []        []          []      []      []      []      []      []      []      []      []      []
     -7  [-17]      [-8]      [-7, -8]  [-7]      []        [-7]      []        [-8]      [-7]      []          []      []      []      []      []      []      []      []      []      []
     -6  []         [-15]     [-7]      [-6, -7]  [-6]      [-7]      []        []        [-7]      []          []      []      []      []      []      []      []      []      []      []
     -5  []         []        [-13]     [-6]      [-5, -6]  [-5]      [-5]      []        []        []          []      []      []      []      []      []      []      []      []      []
     -4  []         []        []        [-11]     [-5]      [-4, -5]  [-4, -5]  []        [-34]     []          []      []      []      []      []      []      []      []      []      []
     -3  [-9]       [-9]      []        []        [-9]      [-4]      [-3, -4]  [-3]      []        []          []      []      []      []      []      []      []      []      []      []
     -2  []         []        [-7]      [-7]      []        [-7]      [-3]      [-2, -3]  [-2, -7]  []          []      []      []      []      []      []      []      []      []      []
     -1  []         []        []        []        [-5]      [-5]      [-5]      [-2]      [-1, -2]  [-1]        []      []      []      []      []      []      []      []      []      []
      0  [-10]      []        []        []        []        []        [-3]      [-3]      [-1]      [0, -1]     [0]     []      []      []      []      []      []      []      []      []
      1  [-17]      []        []        []        []        [-4]      [-4]      []        [-1]      [1, 0, -1]  [1, 0]  [1]     []      []      []      []      []      []      []      []
      2  []         []        []        []        []        []        []        []        []        [1]         [1]     [2, 1]  [2, 7]  []      [34]    []      [7]     [7]     []      []
      3  []         []        []        []        []        []        []        []        []        []          [3]     [2]     [3, 2]  [3]     []      []      []      [8]     [8]     []
      4  []         []        []        []        []        []        []        []        []        [4]         [3]     [5]     [3]     [4, 3]  [4, 5]  [5]     []      []      []      []
      5  []         []        []        []        []        []        []        []        []        [4]         []      [5]     [7]     [4]     [5, 4]  [5]     [7]     [7]     []      []
      6  []         []        []        []        []        []        []        []        []        []          []      [5]     []      [9]     [5]     [6, 5]  [6]     []      [9]     [9]
      7  []         []        []        []        []        []        []        []        []        []          []      []      [7]     []      [11]    [6]     [7, 6]  [7]     []      []
      8  []         []        []        []        []        []        []        []        []        []          []      []      [7]     []      []      [13]    [7]     [8, 7]  [8]     []
      9  []         []        []        []        []        []        []        []        []        []          []      []      []      [9]     []      []      [15]    [8]     [9, 8]  [9]
     10  []         []        []        []        []        []        []        []        []        [17]        [10]    []      []      [9]     []      []      []      [17]    [9]     [10, 9]
     11  []         []        []        []        []        []        []        []        []        []          [10]    []      []      []      [11]    []      []      []      [19]    [10]
     12  []         []        []        []        []        []        []        []        []        []          []      []      []      []      [11]    []      []      []      []      [21]
     13  []         []        []        []        []        []        []        []        []        []          []      []      []      []      []      [13]    []      []      []      []
     14  []         []        []        []        []        []        []        []        []        []          []      []      []      []      []      [13]    []      []      []      []
     15  []         []        []        []        []        []        []        []        []        []          []      []      []      []      []      []      [15]    []      []      []
     16  []         []        []        []        []        []        []        []        []        [86]        []      [16]    []      []      []      []      [15]    []      []      []
     17  []         []        []        []        []        []        []        []        []        [17]        []      [16]    []      []      []      []      []      [17]    []      []
     18  []         []        []        []        []        []        []        []        []        [17]        []      []      []      []      []      []      []      [17]    []      []
     19  []         []        []        []        []        []        []        []        []        []          []      []      []      []      []      []      []      []      [19]    []
