  a1/b1  1       2       3       4       5       6       7       8       9        10        11        12        13        14        15        16        17        18        19        20        21        22        23        24        25        26        27        28        29        30        31        32        33        34        35        36        37        38        39        40        41        42        43        44        45        46        47        48        49        50        51        52        53        54        55        56        57        58        59        60        61        62        63        64        65        66        67        68        69        70        71        72        73        74        75        76        77        78        79        80        81        82        83        84        85        86        87        88        89        90        91        92        93        94        95        96        97        98        99
-------  ------  ------  ------  ------  ------  ------  ------  ------  -------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  ----
      1  [1]     []      []      []      []      []      []      []      []       []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []
      2  [2, 1]  [2, 7]  []      [34]    []      [7]     [7]     []      []       []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        [34]      [34]      []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []
      3  [2]     [3, 2]  [3]     []      []      []      [8]     [8]     []       []        []        []        []        [31]      []        []        []        []        []        []        []        []        []        [154]     []        []        []        []        []        [31]      [31]      []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []
      4  [5]     [3]     [4, 3]  [4, 5]  [5]     []      []      []      []       []        []        []        [14]      [14]      []        []        []        []        []        []        []        []        []        []        []        [55]      []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        [274]     []        []        []        []        []        []        []        []        []        [55]      [55]      []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []
      5  [5]     [7]     [4]     [5, 4]  [5]     [7]     [7]     []      []       []        []        []        []        []        []        []        []        []        [20]      [20]      []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        [79]      []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        [394]     []        []        []        []        []        []        []        []        []        []        []        []        []        [79]      [79]      []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []
      6  [5]     []      [9]     [5]     [6, 5]  [6]     []      [9]     [9]      []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        [26]      [26]      []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        [103]     []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        [514]     []        []        []        []        []        []        []        []        []        []        []        []        []        []        []
      7  []      [7]     []      [11]    [6]     [7, 6]  [7]     []      []       [11]      [11]      []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        [32]      [32]      []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        [127]     []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []
      8  []      [7]     []      []      [13]    [7]     [8, 7]  [8]     []       []        []        [13]      [13]      []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        [38]      [38]      []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        [151]     []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []
      9  []      []      [9]     []      []      [15]    [8]     [9, 8]  [9]      []        []        []        []        [15]      [15]      []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        [44]      [44]      []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        []        [175]     []        []        []        []        []        []        []        []        []        []        []        []        []
